f_hz,distance_m,input_w,tx_radius_m,rx_radius_m,tx_wire_mm2,rx_wire_mm2,tx_copper_kg,rx_copper_kg,mutual_h,coupling_figure_x,load_ohm,tx_current_rms_a,rx_current_rms_a,rx_induced_emf_at_loaded_tx_current_rms_v,rx_open_circuit_at_fixed_input_rms_v,load_w,coil_efficiency,tx_heat_w,rx_heat_w,energy_balance_error_w,rx_field_rms_t,tx_radiation_resistance_ohm,tx_radiated_w,tx_q,required_r_each_for_50pct_ohm,ka_tx,kr
1,3000,100,10,10,10,10,5.629734035232908,5.629734035232908,3.6554090374405037e-13,4.495701207129627e-22,0.10832211469577609,30.38375427321139,3.221144140419618e-10,6.978422900603218e-11,6.978422900603218e-11,1.1239253017824066e-20,1.1239253017824068e-22,100.0,1.1239253017824066e-20,-1.1239253017824066e-20,3.53531034122957e-14,3.8086091177776185e-25,3.516003291178483e-22,0.006349409723213439,8.120277222217154e-13,2.0958450219516817e-07,6.287535065855045e-05
1,10000,100,10,10,10,10,5.629734035232908,5.629734035232908,9.86960440108936e-15,3.277366179997498e-25,0.10832211469577609,30.38375427321139,8.69708917913297e-12,1.884174183162869e-12,1.884174183162869e-12,8.193415449993746e-24,8.193415449993745e-26,100.0,8.193415449993746e-24,-8.193415449993746e-24,9.54533792131984e-16,3.8086091177776185e-25,3.516003291178483e-22,0.006349409723213439,2.1924748499986318e-14,2.0958450219516817e-07,0.00020958450219516817
1,30000,100,10,10,10,10,5.629734035232908,5.629734035232908,3.6554090374405037e-16,4.495701207129626e-28,0.10832211469577609,30.38375427321139,3.2211441404196175e-13,6.978422900603218e-14,6.978422900603218e-14,1.1239253017824064e-26,1.1239253017824066e-28,100.0,1.1239253017824064e-26,-1.1239253017824064e-26,3.5353103412295697e-17,3.8086091177776185e-25,3.516003291178483e-22,0.006349409723213439,8.120277222217154e-16,2.0958450219516817e-07,0.0006287535065855046
1,100000,100,10,10,10,10,5.629734035232908,5.629734035232908,9.86960440108936e-18,3.2773661799974983e-31,0.10832211469577609,30.38375427321139,8.697089179132968e-15,1.884174183162869e-15,1.884174183162869e-15,8.193415449993745e-30,8.193415449993746e-32,100.0,8.193415449993745e-30,-8.193415449993745e-30,9.54533792131984e-19,3.8086091177776185e-25,3.516003291178483e-22,0.006349409723213439,2.192474849998632e-17,2.0958450219516817e-07,0.0020958450219516816
1,1000,100,10,10,50,50,28.14867017616454,28.14867017616454,9.86960440108936e-12,8.193415449993744e-18,0.021664422939155218,67.94013996655039,9.723641305459581e-08,4.213141555002315e-09,4.213141555002315e-09,2.048353862498436e-16,2.048353862498436e-18,100.0,2.048353862498436e-16,-2.048353862498436e-16,2.13440244602777e-12,3.8086091177776185e-25,1.7580016455892415e-21,0.028814218962870054,2.1924748499986317e-11,2.0958450219516817e-07,2.0958450219516817e-05
1,3000,100,10,10,50,50,28.14867017616454,28.14867017616454,3.6554090374405037e-13,1.1239253017824067e-20,0.021664422939155218,67.94013996655039,3.601348631651697e-09,1.5604227981490054e-10,1.5604227981490054e-10,2.8098132544560166e-19,2.8098132544560168e-21,100.0,2.8098132544560166e-19,-2.8098132544560166e-19,7.905194244547298e-14,3.8086091177776185e-25,1.7580016455892415e-21,0.028814218962870054,8.120277222217154e-13,2.0958450219516817e-07,6.287535065855045e-05
1,10000,100,10,10,50,50,28.14867017616454,28.14867017616454,9.86960440108936e-15,8.193415449993745e-24,0.021664422939155218,67.94013996655039,9.723641305459582e-11,4.213141555002315e-12,4.213141555002315e-12,2.0483538624984362e-22,2.048353862498436e-24,100.0,2.0483538624984362e-22,-2.0483538624984362e-22,2.1344024460277703e-15,3.8086091177776185e-25,1.7580016455892415e-21,0.028814218962870054,2.1924748499986318e-14,2.0958450219516817e-07,0.00020958450219516817
1,30000,100,10,10,50,50,28.14867017616454,28.14867017616454,3.6554090374405037e-16,1.1239253017824064e-26,0.021664422939155218,67.94013996655039,3.6013486316516968e-12,1.5604227981490054e-13,1.5604227981490054e-13,2.809813254456016e-25,2.809813254456016e-27,100.0,2.809813254456016e-25,-2.809813254456016e-25,7.905194244547295e-17,3.8086091177776185e-25,1.7580016455892415e-21,0.028814218962870054,8.120277222217154e-16,2.0958450219516817e-07,0.0006287535065855046
1,100000,100,10,10,50,50,28.14867017616454,28.14867017616454,9.86960440108936e-18,8.193415449993745e-30,0.021664422939155218,67.94013996655039,9.723641305459582e-14,4.213141555002315e-15,4.213141555002315e-15,2.0483538624984363e-28,2.048353862498436e-30,100.0,2.0483538624984363e-28,-2.0483538624984363e-28,2.1344024460277704e-18,3.8086091177776185e-25,1.7580016455892415e-21,0.028814218962870054,2.192474849998632e-17,2.0958450219516817e-07,0.0020958450219516816
1,1000,100,10,10,100,100,56.29734035232908,56.29734035232908,9.86960440108936e-12,3.277366179997498e-17,0.010832211469577609,96.08186737022191,2.750261081966433e-07,5.958281927281945e-09,5.958281927281945e-09,8.193415449993744e-16,8.193415449993744e-18,100.0,8.193415449993744e-16,-8.193415449993744e-16,3.0185008867347806e-12,3.8086091177776185e-25,3.516003291178483e-21,0.05510223596483107,2.1924748499986317e-11,2.0958450219516817e-07,2.0958450219516817e-05
1,3000,100,10,10,100,100,56.29734035232908,56.29734035232908,3.6554090374405037e-13,4.495701207129627e-20,0.010832211469577609,96.08186737022191,1.0186152155431236e-08,2.206771084178498e-10,2.206771084178498e-10,1.1239253017824066e-18,1.1239253017824067e-20,100.0,1.1239253017824066e-18,-1.1239253017824066e-18,1.1179632913832522e-13,3.8086091177776185e-25,3.516003291178483e-21,0.05510223596483107,8.120277222217154e-13,2.0958450219516817e-07,6.287535065855045e-05
1,10000,100,10,10,100,100,56.29734035232908,56.29734035232908,9.86960440108936e-15,3.277366179997498e-23,0.010832211469577609,96.08186737022191,2.7502610819664335e-10,5.958281927281945e-12,5.958281927281945e-12,8.193415449993745e-22,8.193415449993745e-24,100.0,8.193415449993745e-22,-8.193415449993745e-22,3.0185008867347807e-15,3.8086091177776185e-25,3.516003291178483e-21,0.05510223596483107,2.1924748499986318e-14,2.0958450219516817e-07,0.00020958450219516817
1,30000,100,10,10,100,100,56.29734035232908,56.29734035232908,3.6554090374405037e-16,4.4957012071296257e-26,0.010832211469577609,96.08186737022191,1.0186152155431235e-11,2.206771084178498e-13,2.206771084178498e-13,1.1239253017824064e-24,1.1239253017824064e-26,100.0,1.1239253017824064e-24,-1.1239253017824064e-24,1.117963291383252e-16,3.8086091177776185e-25,3.516003291178483e-21,0.05510223596483107,8.120277222217154e-16,2.0958450219516817e-07,0.0006287535065855046
1,100000,100,10,10,100,100,56.29734035232908,56.29734035232908,9.86960440108936e-18,3.277366179997498e-29,0.010832211469577609,96.08186737022191,2.7502610819664337e-13,5.958281927281945e-15,5.958281927281945e-15,8.193415449993745e-28,8.193415449993745e-30,100.0,8.193415449993745e-28,-8.193415449993745e-28,3.018500886734781e-18,3.8086091177776185e-25,3.516003291178483e-21,0.05510223596483107,2.192474849998632e-17,2.0958450219516817e-07,0.0020958450219516816
1,1000,100,10,100,0.5,0.5,0.2814867017616454,2.814867017616455,9.86960440108936e-10,8.193415449993744e-19,21.664422939155216,6.79401399665504,9.723641305459582e-10,4.213141555002315e-08,4.213141555002315e-08,2.0483538624984362e-17,2.048353862498436e-19,100.0,2.0483538624984362e-17,-2.0483538624984362e-17,2.1344024460277705e-13,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,2.1924748499986317e-09,2.0958450219516817e-07,2.0958450219516817e-05
1,3000,100,10,100,0.5,0.5,0.2814867017616454,2.814867017616455,3.6554090374405037e-11,1.1239253017824067e-21,21.664422939155216,6.79401399665504,3.6013486316516974e-11,1.5604227981490057e-09,1.5604227981490057e-09,2.809813254456017e-20,2.809813254456017e-22,100.0,2.809813254456017e-20,-2.809813254456017e-20,7.905194244547299e-15,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,8.120277222217155e-11,2.0958450219516817e-07,6.287535065855045e-05
1,10000,100,10,100,0.5,0.5,0.2814867017616454,2.814867017616455,9.869604401089358e-13,8.1934154499937445e-25,21.664422939155216,6.79401399665504,9.723641305459583e-13,4.213141555002315e-11,4.213141555002315e-11,2.0483538624984362e-23,2.0483538624984361e-25,100.0,2.0483538624984362e-23,-2.0483538624984362e-23,2.1344024460277706e-16,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,2.1924748499986314e-12,2.0958450219516817e-07,0.00020958450219516817
