wavelength_m,distance_m,tx_diameter_m,rx_diameter_m,first_null_diameter_m,capture_fraction,tx_conversion_assumed,rx_conversion_assumed,ideal_end_to_end_efficiency,input_w_for_100w_load,quarter_rx_radius_angle_rad
0.05168835482758621,100000,1,100,12611.958577931035,0.0002308576170259249,0.6,0.7,9.696019915088844e-05,1031351.0169712115,0.000125
0.05168835482758621,100000,10,1.5,1261.1958577931034,5.194882560968831e-06,0.6,0.7,2.1818506756069086e-06,45832650.74828449,1.875e-06
0.05168835482758621,100000,10,10,1261.1958577931034,0.0002308576170259249,0.6,0.7,9.696019915088844e-05,1031351.0169712115,1.25e-05
0.05168835482758621,100000,10,100,1261.1958577931034,0.02282359171947717,0.6,0.7,0.00958590852218041,10431.979375623543,0.000125
0.05168835482758621,100000,100,1.5,126.11958577931034,0.0005193546901955769,0.6,0.7,0.0002181289698821423,458444.3783603398,1.875e-06
0.05168835482758621,100000,100,10,126.11958577931034,0.022823591719477152,0.6,0.7,0.009585908522180402,10431.979375623552,1.25e-05
0.05168835482758621,100000,100,100,126.11958577931034,0.8202539243937297,0.6,0.7,0.3445066482453664,290.2701602692365,0.000125
0.05168835482758621,1000000,1,1.5,126119.58577931035,5.19489519775409e-10,0.6,0.7,2.1818559830567173e-10,458325392585.73285,1.875e-07
0.05168835482758621,1000000,1,10,126119.58577931035,2.3088426743170818e-08,0.6,0.7,9.697139232131742e-09,10312319706.480774,1.25e-06
0.05168835482758621,1000000,1,100,126119.58577931035,2.308840025765784e-06,0.6,0.7,9.69712810821629e-07,103123315.36104065,1.25e-05
0.05168835482758621,1000000,10,1.5,12611.958577931035,5.1948959534229676e-08,0.6,0.7,2.1818563004376462e-08,4583253259.160173,1.875e-07
0.05168835482758621,1000000,10,10,12611.958577931035,2.308840025765784e-06,0.6,0.7,9.69712810821629e-07,103123315.36104065,1.25e-06
0.05168835482758621,1000000,10,100,12611.958577931035,0.0002308576170259249,0.6,0.7,9.696019915088844e-05,1031351.0169712115,1.25e-05
0.05168835482758621,1000000,100,1.5,1261.1958577931034,5.194882560968831e-06,0.6,0.7,2.1818506756069086e-06,45832650.74828449,1.875e-07
0.05168835482758621,1000000,100,10,1261.1958577931034,0.00023085761702592485,0.6,0.7,9.696019915088843e-05,1031351.0169712118,1.25e-06
0.05168835482758621,1000000,100,100,1261.1958577931034,0.022823591719477152,0.6,0.7,0.009585908522180402,10431.979375623552,1.25e-05
0.0085654988,10000,1,1.5,208.99817071999996,0.00018915415507805245,0.6,0.7,7.944474513278202e-05,1258736.4945643973,1.875e-05
0.0085654988,10000,1,10,208.99817071999996,0.00837238470436325,0.6,0.7,0.003516401575832565,28438.162662443745,0.000125
0.0085654988,10000,1,100,208.99817071999996,0.558862112371221,0.6,0.7,0.23472208719591275,426.0357480399114,0.00125
0.0085654988,10000,10,1.5,20.899817071999998,0.018739211533448433,0.6,0.7,0.007870468844048342,12705.723379569708,1.875e-05
0.0085654988,10000,10,10,20.899817071999998,0.558862112371221,0.6,0.7,0.23472208719591275,426.0357480399114,0.000125
0.0085654988,10000,10,100,20.899817071999998,0.9657549890646226,0.6,0.7,0.40561709540714147,246.53793228222835,0.00125
0.0085654988,10000,100,1.5,2.0899817071999998,0.7917102333384002,0.6,0.7,0.33251829800212807,300.73532975728153,1.875e-05
0.0085654988,10000,100,10,2.0899817071999998,0.9657549890646226,0.6,0.7,0.40561709540714147,246.53793228222835,0.000125
0.0085654988,10000,100,100,2.0899817071999998,0.9965218919352377,0.6,0.7,0.41853919461279976,238.92624941019514,0.00125
0.0085654988,100000,1,1.5,2089.9817071999996,1.8917186825212287e-06,0.6,0.7,7.94521846658916e-07,125861863.23323275,1.875e-06
0.0085654988,100000,1,10,2089.9817071999996,8.40729310652701e-05,0.6,0.7,3.531063104741344e-05,2832008.2942081876,1.25e-05
0.0085654988,100000,1,100,2089.9817071999996,0.00837238470436325,0.6,0.7,0.003516401575832565,28438.162662443745,0.000125
0.0085654988,100000,10,1.5,208.99817071999996,0.00018915415507805245,0.6,0.7,7.944474513278202e-05,1258736.4945643973,1.875e-06
