profile,h_km,sigma_iono,n,f_hz,Q,Re_Zg,Re_Zi
apollo_classic,100.0,1e-05,2,67.26925881914649,0.48342896093979876,49.78001839091829,5.154296806813111
nominal,100.0,1e-07,2,67.26925881914649,0.30040830538873553,35.932751085788176,52.469727938929566
pessimistic_warm,70.0,3e-05,3,95.13309815282291,2.8009049021415304,5.847693089752086,3.538533917817282
apollo_classic,100.0,1e-05,1,38.83792468742084,0.4437783535950038,30.63401703249489,3.9161091121401452
pessimistic_warm,70.0,3e-05,2,67.26925881914649,2.3565487296917054,4.913101114143291,2.9754636360611677
apollo_classic,100.0,3e-06,3,95.13309815282291,0.4719167215582738,68.38534900905897,11.198696338435685
nominal,100.0,0.0001,1,38.83792468742084,0.6414954247304477,22.663074572615553,1.2382620634305879
nominal,40.0,0.0001,1,38.83792468742084,0.2565981698921791,22.663074572615553,1.2382620634305879
optimistic_cold,150.0,3e-06,1,38.83792468742084,0.48592971465807117,40.178073292182056,7.151605160661953
pessimistic_warm,70.0,3e-05,1,38.83792468742084,1.7982303691414816,3.707741018637186,2.26080386418569
apollo_classic,100.0,3e-06,2,67.26925881914649,0.44863665447549017,49.78001839091829,9.414518326164727
nominal,50.0,3e-05,2,67.26925881914649,0.3412754749328732,35.932751085788176,2.9754636360611677
optimistic_cold,200.0,3e-06,1,38.83792468742084,0.6479062862107615,40.178073292182056,7.151605160661953
pessimistic_warm,70.0,1e-05,3,95.13309815282291,2.1949073679931024,5.847693089752086,6.130001104309631
nominal,80.0,0.0001,2,67.26925881914649,0.5656046026707958,35.932751085788176,1.6296574102909376
pessimistic_warm,70.0,1e-05,2,67.26925881914649,1.8465334724167786,4.913101114143291,5.154296806813111
nominal,100.0,3e-05,3,95.13309815282291,0.7264331195742746,48.16208484078906,3.538533917817282
nominal,40.0,0.0001,2,67.26925881914649,0.2828023013353979,35.932751085788176,1.6296574102909376
optimistic_cold,150.0,3e-06,2,67.26925881914649,0.4464066834013862,79.82083556783198,9.414518326164727
pessimistic_warm,70.0,1e-05,1,38.83792468742084,1.4077950751612898,3.707741018637186,3.9161091121401452
nominal,100.0,1e-07,3,95.13309815282291,0.3383501071436543,48.16208484078906,62.83844678543254
nominal,50.0,0.001,3,95.13309815282291,0.3850035871961681,48.16208484078906,0.6128396245231282
nominal,40.0,0.0001,3,95.13309815282291,0.2998560221079397,48.16208484078906,1.9380152068467316
optimistic_cold,150.0,3e-06,3,95.13309815282291,0.39524743602059054,131.33369607958164,11.198696338435685
pessimistic_warm,70.0,3e-06,3,95.13309815282291,1.542257927924693,5.847693089752086,11.198696338435685
nominal,40.0,0.0003,1,38.83792468742084,0.26234256101119807,22.663074572615553,0.7149057869058422
optimistic_cold,150.0,1e-05,1,38.83792468742084,0.5215857487629558,40.178073292182056,3.9161091121401452
pessimistic_warm,70.0,3e-06,2,67.26925881914649,1.2974791324290949,4.913101114143291,9.414518326164727
nominal,40.0,0.0003,2,67.26925881914649,0.28808494658071554,35.932751085788176,0.9408714081077424
optimistic_cold,150.0,1e-05,2,67.26925881914649,0.4687872470541052,79.82083556783198,5.154296806813111
pessimistic_warm,70.0,3e-06,1,38.83792468742084,0.9883485147877269,3.707741018637186,7.151605160661953
optimistic_cold,150.0,1e-05,3,95.13309815282291,0.40982138417053804,131.33369607958164,6.130001104309631
