r_m,depth_km,sigma_S_m,eps_r
1.019644789473684155e+06,7.177552105263158637e+02,5.319253668300893490e-04,5.500000000000000000e+00
1.023994821052631596e+06,7.134051789473684266e+02,5.144587953898779572e-04,5.500000000000000000e+00
1.028344852631578920e+06,7.090551473684211032e+02,4.975657651584532506e-04,5.500000000000000000e+00
1.032694884210526245e+06,7.047051157894737798e+02,4.812274430454576671e-04,5.500000000000000000e+00
1.037044915789473685e+06,7.003550842105263428e+02,4.654256143734508190e-04,5.500000000000000000e+00
1.041394947368421010e+06,6.960050526315790194e+02,4.501426625713893020e-04,5.500000000000000000e+00
1.045744978947368450e+06,6.916550210526315823e+02,4.353615495349027120e-04,5.500000000000000000e+00
1.050095010526315775e+06,6.873049894736842589e+02,4.210657966314671537e-04,5.500000000000000000e+00
1.054445042105263099e+06,6.829549578947369355e+02,4.072394663293026963e-04,5.500000000000000000e+00
1.058795073684210423e+06,6.786049263157896121e+02,3.938671444295155496e-04,5.500000000000000000e+00
1.063145105263157748e+06,6.742548947368422887e+02,3.809339228816748554e-04,5.500000000000000000e+00
1.067495136842105305e+06,6.699048631578947379e+02,3.684253831636619559e-04,5.500000000000000000e+00
1.071845168421052629e+06,6.655548315789474145e+02,3.563275802072733180e-04,5.500000000000000000e+00
1.076195199999999953e+06,6.612048000000000911e+02,3.446270268516446792e-04,5.500000000000000000e+00
1.080545231578947511e+06,6.568547684210525404e+02,3.333106788071742805e-04,5.500000000000000000e+00
1.084895263157894835e+06,6.525047368421052170e+02,3.223659201131781615e-04,5.500000000000000000e+00
1.089245294736842159e+06,6.481547052631578936e+02,3.117805490730621906e-04,5.500000000000000000e+00
1.093595326315789483e+06,6.438046736842105702e+02,3.015427646513383622e-04,5.500000000000000000e+00
1.097945357894736808e+06,6.394546421052632468e+02,2.916411533173113562e-04,5.500000000000000000e+00
1.102295389473684132e+06,6.351046105263159234e+02,2.820646763207751016e-04,5.500000000000000000e+00
1.106645421052631456e+06,6.307545789473686000e+02,2.728026573855313677e-04,5.500000000000000000e+00
1.110995452631578781e+06,6.264045473684211629e+02,2.638447708070070386e-04,5.500000000000000000e+00
1.115345484210526105e+06,6.220545157894738395e+02,2.551810299407085447e-04,5.500000000000000000e+00
1.119695515789473429e+06,6.177044842105265161e+02,2.468017760686711296e-04,5.500000000000000000e+00
1.124045547368420986e+06,6.133544526315789653e+02,2.386976676314973226e-04,5.500000000000000000e+00
1.128395578947368311e+06,6.090044210526316419e+02,2.308596698139782691e-04,5.500000000000000000e+00
1.132745610526315868e+06,6.046543894736840912e+02,2.232790444726839461e-04,5.500000000000000000e+00
1.137095642105263192e+06,6.003043578947367678e+02,2.159473403942995776e-04,5.500000000000000000e+00
1.141445673684210517e+06,5.959543263157894444e+02,2.088563838738420771e-04,5.500000000000000000e+00
1.145795705263157841e+06,5.916042947368421210e+02,2.019982696022551254e-04,5.500000000000000000e+00
1.150145736842105165e+06,5.872542631578947976e+02,1.953653518532246132e-04,5.500000000000000000e+00
1.154495768421052489e+06,5.829042315789474742e+02,1.889502359593883522e-04,5.500000000000000000e+00
