r_m,depth_km,sigma_S_m,eps_r
1.735942876248351764e+06,1.457123751648236043e+00,5.059431722691384140e-08,5.000000000000000000e+00
1.735984230673241895e+06,1.415769326758105295e+00,5.057735298767271946e-08,5.000000000000000000e+00
1.736024411423997488e+06,1.375588576002512164e+00,5.056087565638301147e-08,5.000000000000000000e+00
1.736063451810499653e+06,1.336548189500346817e+00,5.054487110763832200e-08,5.000000000000000000e+00
1.736101384197266540e+06,1.298615802733460445e+00,5.052932563421524732e-08,5.000000000000000000e+00
1.736138240030282876e+06,1.261759969717124452e+00,5.051422593422664505e-08,5.000000000000000000e+00
1.736174049863070250e+06,1.225950136929750522e+00,5.049955909869328522e-08,5.000000000000000000e+00
1.736208843382014195e+06,1.191156617985805521e+00,5.048531259952244761e-08,5.000000000000000000e+00
1.736242649430975318e+06,1.157350569024682141e+00,5.047147427787708074e-08,5.000000000000000000e+00
1.736275496035201009e+06,1.124503964798990729e+00,5.045803233292043474e-08,5.000000000000000000e+00
1.736307410424557514e+06,1.092589575442485472e+00,5.044497531092651968e-08,5.000000000000000000e+00
1.736338419056104729e+06,1.061580943895271023e+00,5.043229209473784754e-08,5.000000000000000000e+00
1.736368547636027448e+06,1.031452363972552133e+00,5.041997189356558716e-08,5.000000000000000000e+00
1.736397821140947985e+06,1.002178859052015536e+00,5.040800423311164468e-08,5.000000000000000000e+00
1.736426263838629704e+06,9.737361613702960605e-01,5.039637894600987689e-08,5.000000000000000000e+00
1.736453899308096617e+06,9.461006919033825291e-01,5.038508616256830567e-08,5.000000000000000000e+00
1.736480750459179282e+06,9.192495408207178587e-01,5.037411630180727116e-08,5.000000000000000000e+00
1.736506839551507961e+06,8.931604484920390163e-01,5.036346006277979915e-08,5.000000000000000000e+00
1.736532188212965149e+06,8.678117870348505125e-01,5.035310841616592402e-08,5.000000000000000000e+00
1.736556817457615864e+06,8.431825423841364797e-01,5.034305259613177567e-08,5.000000000000000000e+00
1.736580747703127330e+06,8.192522968726698718e-01,5.033328409244460941e-08,5.000000000000000000e+00
1.736603998787696240e+06,7.960012123037595311e-01,5.032379464283354811e-08,5.000000000000000000e+00
1.736626589986494277e+06,7.734100135057233594e-01,5.031457622558947228e-08,5.000000000000000000e+00
1.736648540027646581e+06,7.514599723534193254e-01,5.030562105239663315e-08,5.000000000000000000e+00
1.736669867107758531e+06,7.301328922414686007e-01,5.029692156138440171e-08,5.000000000000000000e+00
1.736690588907000143e+06,7.094110929998569404e-01,5.028847041039674489e-08,5.000000000000000000e+00
1.736710722603762988e+06,6.892773962370120078e-01,5.028026047046943002e-08,5.000000000000000000e+00
1.736730284888901049e+06,6.697151110989507661e-01,5.027228481950754587e-08,5.000000000000000000e+00
1.736749291979567381e+06,6.507080204326193273e-01,5.026453673615936998e-08,5.000000000000000000e+00
1.736767759632658679e+06,6.322403673413209413e-01,5.025700969387727801e-08,5.000000000000000000e+00
1.736785703157876618e+06,6.142968421233817589e-01,5.024969735516137404e-08,5.000000000000000000e+00
1.736803137430421542e+06,5.968625695784576246e-01,5.024259356597880071e-08,5.000000000000000000e+00
1.736820076903321780e+06,5.799230966782197294e-01,5.023569235035536773e-08,5.000000000000000000e+00
1.736836535619416740e+06,5.634643805832602048e-01,5.022898790512934079e-08,5.000000000000000000e+00
1.736852527222997742e+06,5.474727770022582707e-01,5.022247459486694104e-08,5.000000000000000000e+00
1.736868064971119864e+06,5.319350288801361071e-01,5.021614694693143537e-08,5.000000000000000000e+00
1.736883161744591314e+06,5.168382554086856651e-01,5.020999964670270092e-08,5.000000000000000000e+00
1.736897830058651278e+06,5.021699413487221708e-01,5.020402753294050707e-08,5.000000000000000000e+00
1.736912082073346712e+06,4.879179266532883141e-01,5.019822559328774997e-08,5.000000000000000000e+00
1.736925929603611352e+06,4.740703963886480632e-01,5.019258895991079373e-08,5.000000000000000000e+00
1.736939384129061131e+06,4.606158709388691874e-01,5.018711290527010923e-08,5.000000000000000000e+00
1.736952456803510664e+06,4.475431964893359926e-01,5.018179283801799429e-08,5.000000000000000000e+00
1.736965158464219421e+06,4.348415357805788251e-01,5.017662429901994079e-08,5.000000000000000000e+00
