r_m,depth_km,sigma_S_m,eps_r
6.370899434673425741e+06,1.005653265742585123e-01,9.771100210401190839e-03,1.000000000000000000e+01
6.370904568187057972e+06,9.543181294202804366e-02,9.782656823573872978e-03,1.000000000000000000e+01
6.370909439652496018e+06,9.056034750398248012e-02,9.793636150805102442e-03,1.000000000000000000e+01
6.370914062446398661e+06,8.593755360133946419e-02,9.804066415884698377e-03,1.000000000000000000e+01
6.370918449262590148e+06,8.155073740985244179e-02,9.813974523851569376e-03,1.000000000000000000e+01
6.370922612146921456e+06,7.738785307854413598e-02,9.823386116453483932e-03,1.000000000000000000e+01
6.370926562530341558e+06,7.343746965844184793e-02,9.832325625894550863e-03,1.000000000000000000e+01
6.370930311260291375e+06,6.968873970862478340e-02,9.840816326898069871e-03,1.000000000000000000e+01
6.370933868630484678e+06,6.613136951532215535e-02,9.848880387024045585e-03,1.000000000000000000e+01
6.370937244409180246e+06,6.275559081975370934e-02,9.856538915291221045e-03,1.000000000000000000e+01
6.370940447865997441e+06,5.955213400255889022e-02,9.863812009052957616e-03,1.000000000000000000e+01
6.370943487797374837e+06,5.651220262516289811e-02,9.870718799200256868e-03,1.000000000000000000e+01
6.370946372550723143e+06,5.362744927685707957e-02,9.877277493669962827e-03,1.000000000000000000e+01
6.370949110047346912e+06,5.088995265308767640e-02,9.883505419302260342e-03,1.000000000000000000e+01
6.370951707804193720e+06,4.829219580627977515e-02,9.889419062067909827e-03,1.000000000000000000e+01
6.370954172954498790e+06,4.582704550120979270e-02,9.895034105717438744e-03,1.000000000000000000e+01
6.370956512267369777e+06,4.348773263022303465e-02,9.900365468861702448e-03,1.000000000000000000e+01
6.370958732166374102e+06,4.126783362589776794e-02,9.905427340542352632e-03,1.000000000000000000e+01
6.370960838747178204e+06,3.916125282179563905e-02,9.910233214329195947e-03,1.000000000000000000e+01
6.370962837794285268e+06,3.716220571473240891e-02,9.914795920982405475e-03,1.000000000000000000e+01
6.370964734796921723e+06,3.526520307827740730e-02,9.919127659732667607e-03,1.000000000000000000e+01
6.370966534964106046e+06,3.346503589395433825e-02,9.923240028200148652e-03,1.000000000000000000e+01
6.370968243238953874e+06,3.175676104612648598e-02,9.927144051025455287e-03,1.000000000000000000e+01
6.370969864312252961e+06,3.013568774703890077e-02,9.930850207243546723e-03,1.000000000000000000e+01
6.370971402635342441e+06,2.859736465755850082e-02,9.934368456438710457e-03,1.000000000000000000e+01
6.370972862432335503e+06,2.713756766449660143e-02,9.937708263732797712e-03,1.000000000000000000e+01
6.370974247711719014e+06,2.575228828098624981e-02,9.940878623650131751e-03,1.000000000000000000e+01
6.370975562277358957e+06,2.443772264104336622e-02,9.943888082894997843e-03,1.000000000000000000e+01
6.370976809738950804e+06,2.319026104919612308e-02,9.946744762104038282e-03,1.000000000000000000e+01
6.370977993521923199e+06,2.200647807680070414e-02,9.949456376568289323e-03,1.000000000000000000e+01
6.370979116876851767e+06,2.088312314823269691e-02,9.952030256032739011e-03,1.000000000000000000e+01
6.370980182888378389e+06,1.981711162161082021e-02,9.954473363542838335e-03,1.000000000000000000e+01
6.370981194483688101e+06,1.880551631189882750e-02,9.956792313439457448e-03,1.000000000000000000e+01
6.370982154440540820e+06,1.784555945917963918e-02,9.958993388479622788e-03,1.000000000000000000e+01
6.370983065394900739e+06,1.693460509926080632e-02,9.961082556166681728e-03,1.000000000000000000e+01
6.370983929848178290e+06,1.607015182171016993e-02,9.963065484310688891e-03,1.000000000000000000e+01
6.370984750174092129e+06,1.524982590787112707e-02,9.964947555824462885e-03,1.000000000000000000e+01
6.370985528625193052e+06,1.447137480694800533e-02,9.966733882840370443e-03,1.000000000000000000e+01
